frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 04:10:37.938858356 CET",uce541689388f2df80fbb0043126.dl.dropboxusercontent.com,1,172.20.10.1,172.20.10.12
"Mar 19, 2024 04:10:38.076566465 CET",ocsp.digicert.com,1,172.20.10.12,172.20.10.1
"Mar 19, 2024 04:10:38.076633332 CET",ocsp.digicert.com,28,172.20.10.12,172.20.10.1
"Mar 19, 2024 04:10:38.084038851 CET",ocsp.digicert.com,1,172.20.10.1,172.20.10.12
"Mar 19, 2024 04:10:38.084901184 CET",ocsp.digicert.com,28,172.20.10.1,172.20.10.12
"Mar 19, 2024 04:10:38.085217255 CET",fp2e7a.wpc.phicdn.net,28,172.20.10.12,172.20.10.1
"Mar 19, 2024 04:10:38.087809902 CET",fp2e7a.wpc.phicdn.net,28,172.20.10.1,172.20.10.12
"Mar 19, 2024 04:10:38.726724543 CET",sb-ssl.google.com,1,172.20.10.12,172.20.10.1
"Mar 19, 2024 04:10:38.726827719 CET",sb-ssl.google.com,28,172.20.10.12,172.20.10.1
"Mar 19, 2024 04:10:38.780826228 CET",sb-ssl.google.com,1,172.20.10.1,172.20.10.12
"Mar 19, 2024 04:10:38.788087244 CET",sb-ssl.google.com,28,172.20.10.1,172.20.10.12
"Mar 19, 2024 04:10:38.907058547 CET",ocsp.pki.goog,1,172.20.10.12,172.20.10.1
"Mar 19, 2024 04:10:38.907151141 CET",ocsp.pki.goog,28,172.20.10.12,172.20.10.1
"Mar 19, 2024 04:10:38.957735345 CET",ocsp.pki.goog,28,172.20.10.1,172.20.10.12
"Mar 19, 2024 04:10:38.957735272 CET",ocsp.pki.goog,1,172.20.10.1,172.20.10.12
